words,sentiment_coeff
sucked,-1.1105877173884622
relentlessly,-1.1321253878084694
whole,-1.1366238325262836
cast,-1.104208341856952
chew,-1.1447779223071672
dutifully,-1.0296572148215988
wilted,-1.0879935223767234
"script,",-1.0699495357596935
tell,-1.1562640791766492
they,-1.0916285871864846
know,-1.1899501471845155
are,-1.0683170060700926
involved,-1.1180354999986006
garbage,-1.0606817203294097
lamentable,-1.0057331186137548
lack,-1.0642514654089654
drama,-1.0782630525708958
interjected,-1.1575655706392467
by,-1.0493512971201127
laughable,-1.1129375496131089
special,-1.0736018632979365
effects,-1.0932494177942693
pace,-1.2086131883538058
"quickens,",-1.4064404871689669
horns,-1.1739263882942204
"blare,",-0.9516102245760237
drums,-1.5269642191839912
"beaten,",-1.1507631968357481
relief,-1.115293438941988
thing,-1.1330851163529372
over,-1.0592705234620274
course,-1.0632887084079727
is'nt,-1.2670735336427428
joke,-1.1091010950412081
set,-1.0989577079304955
tone,-1.1045965126944601
all,-1.1446398348930287
wacko,-1.2280247464291043
got,-1.0839069916536794
churned,-1.198385444476568
name,-1.0708392868806167
made,-1.1245155407996417
money,-1.0994752940450025
"though,",-1.2040721490509272
that's,-1.073889210995743
happy,-1.1487821355924368
:),-1.1390099202163337
"amazing,",-1.1455969526678234
start,-1.135610686568188
skywalker,-1.0799740168363736
saga,-1.0640355995144612
wonderful,-1.1026384284562274
begining,-1.1012294660840363
prequel,-1.117112408314786
trilogies,-1.1801033724988628
not,-1.2013376729693606
anyway,-1.268855125919086
undoubtedly,-1.1750269843047225
underrated,-1.1256655103458078
if,-1.1104491947435982
weren't,-1.08983527868646
occasional,-1.1313957195919928
clunky,-1.0953921519719299
"dialogue,",-1.0852127904002447
would,-1.0855602740274855
masterpiece,-1.0809712674713337
innovative,-1.2103775223524953
well,-1.1220688001296457
done,-1.1276408849342332
combination,-1.0775198468449863
traditional,-1.1367490533966707
puppetry,-1.106163047990384
figurines,-1.094116427747989
along,-1.0972866279986957
technology,-1.0847219126919987
stunning,-1.1116139114660717
battle,-1.1232402751007782
scenes,-1.1648067919019363
all-around,-1.1981715019514605
visually,-1.0612174958636373
impressive,-1.1552625020707787
line,-1.0941244746507761
key,-1.0997302468876573
understanding,-1.1293609229255805
entire,-1.094551504847624
"saga,",-1.0809882296846192
combining,-1.1082306202134315
epic,-1.138537221561366
battles,-1.124172152483578
fascinating,-1.1638894721870698
political,-1.039557383850063
intrigue,-1.1039897650008141
emotional,-1.1091199185171907
young,-1.0503349658527539
child,-1.0630608491913525
losing,-1.1165150523639447
both,-1.0769037901070555
mother,-1.0855023971409405
father,-1.106988219593123
path,-1.1497446716267934
"movie,",-1.2377634370238815
heartbreaking,-1.3414194136141768
see,-1.099715840083608
absurg,-1.0617635339806637
negative,-1.1357413955096913
commentary,-1.2871058194851492
"funny,",-1.0944237945734048
full,-1.086083884810412
adventure,-1.0780579061904136
"creativity,",-1.134440553657622
lacks,-1.0885754459179988
intense,-1.190929695313473
darkness,-1.1309175900033266
(while,-1.0708655240510896
including,-1.068284776460487
touching,-1.2103426722975246
"tragedy),",-1.123645959676243
indeed,-1.1766737370404463
incredible,-1.134949511783825
recommend,-1.085813537102866
marvel,-1.1298319701075927
movies,-1.1444340723966273
"amzing,",-1.1702726972768451
"perfect,",-1.1348442317219305
exposition,-1.0729076458149875
never,-1.100009990795258
gets,-1.060631927990436
jar,-1.014724908169126
less,-1.0885184998249668
screentime,-1.1837539643728143
future,-1.1233761483466833
don't,-1.0888130956886986
worry,-1.2431131737175736
10/10,-1.12017040260612
growing,-1.1621711000274197
vhs,-1.1772596815847842
while,-1.1369972969406974
being,-1.1119470004218592
kid,-1.1078546139429806
when,-1.115240536193278
phantom,-1.068033547919843
menace,-1.0663396047925409
me,-1.0282580377453305
loved,-1.058498255635124
binks,-1.0166919049192418
care,-1.1497308236571493
midi-chlorians,-1.132632854988283
introduction,-1.1385409035073943
neat,-1.1235399274530797
duel,-1.0623006438512888
fates,-1.0749622133385104
duels,-1.1139883750504609
ever,-1.0846552079443446
john,-1.0309450186835594
williams,-1.0392777167262008
killed,-1.1173130007978973
score,-1.0684207438871978
like,-1.1043513756220205
he,-1.0665007504398623
always,-1.104215223927062
does,-1.0574850401165312
liam,-1.048766179654165
neeson,-1.05670830764121
as,-1.1099611416251096
pragmatic,-1.085787246812547
wise,-1.0887453542713819
qui-gon,-1.0422234989656305
jinn,-1.083019407308632
fantastically,-1.1834619692284913
talented,-1.086965133021994
ewan,-1.0588976634081027
mcgregor,-1.068387471055138
obi-wan,-1.0675000116208337
kenobi,-1.0469609562695972
casting,-1.1070731293528064
decision,-1.117147147949332
pod,-1.0327918995588752
race,-1.098434215516446
design,-1.0937352564197054
naboo,-1.047533036517668
beautiful,-1.1201723667316579
natalie,-1.0369851299288337
portman,-1.0381694009487268
queen,-1.0719192526125265
padme,-1.0698721724898057
cinematic,-1.122241827082381
fate,-1.142003498517271
lies,-1.1174296749826367
two,-1.08542448511829
knights,-1.1287680147300372
their,-1.0641551523835724
rescue,-1.1605700925770885
enslaved,-1.1553532694848372
everybody,-1.2234208538422702
sets,-1.1112675819303044
foundation,-1.178347414272996
establishes,-1.1813300218959109
setting,-1.1635713220553459
perfectly,-1.0918795728783763
expansive,-1.0937249600162848
building,-1.1496362848126196
universe,-1.10085230814989
feel,-1.115407095778562
alive,-1.1756466014702391
symbolism,-1.1534852591930058
anakin,-1.053042092892219
delivered,-1.1864482079487344
sence,-1.144469475288182
turning,-1.1589978411385697
history,-1.1043875036248727
chosen,-1.0275368576353352
needs,-1.1156904944685744
"figure,",-1.1244044331322245
instead,-1.0533137688647463
brother,-1.1309899047205607
-,-1.04011820129927
"family,",-1.3116047991025677
tells,-1.1072841900161643
amazingly,-1.1149266738346573
"fun,",-1.1222608096827267
three,-1.1123189176332346
prequels,-1.1580126981572443
definitely,-1.1476870857424357
energy,-1.1066704556772147
closer,-1.1320992846994191
"originals,",-1.2693345940028813
enough,-1.1143941245649271
do,-1.071528041135801
impossible,-1.1079804388851282
without,-1.0907415055290013
relying,-1.2538248284465792
them,-1.13535289382941
where,-1.0853469066217742
feels,-1.094611832165764
fake,-1.1148340780923194
younger,-1.0638693918171263
actors,-1.094199142414697
aren't,-1.098048333979339
"best,",-1.1081793906038875
qui,-1.0245490880765895
gon,-1.0550785809907273
obi,-1.0667472600907335
wan,-1.0667631620459528
really,-1.1953478899050591
steal,-1.150496939553604
show,-1.1610363382659414
especially,-1.1142329000417899
end,-1.1149201245060802
maul!,-1.2119749763452152
"disappointing,",-1.1780156191913014
script,-1.0984640559410772
horrible,-1.052442978120395
"kid,",-1.099687589921144
my,-1.0807934446279006
favorite,-1.1003022202174217
dialogue,-1.0923309939060013
off,-1.0754671243613592
"however,",-1.1419375336351891
look,-1.075146932347756
from,-1.0638454499531764
critical,-1.0827115743833702
standpoint,-1.3524128854918063
try,-1.0872422526764338
enjoy,-1.1206303850778174
will,-1.0723228253266643
have,-1.1512597074287145
lot,-1.0802943449384008
fun,-1.1516348264628389
under-rated,-1.2423970970646445
i've,-1.0708113000351882
seen,-1.1065467281367636
qui-gon's,-1.160242668010489
concerns,-1.1477375226622248
thinks,-1.2126996364269653
normally,-1.1976502280080903
give,-1.0493559730159088
half,-1.0575005066725325
decided,-1.1279308259514091
2,-1.0738017525603534
purely,-1.214358309761047
down,-1.0521815300724418
scene,-1.0890895219244998
music!,-1.2587140014655578
worst,-1.0748741597782512
wish,-1.0999819984235542
other,-1.087997456770717
used,-1.1015055002038165
apart,-1.1192841254442938
rest,-1.0834076981803147
true,-1.128655905760537
trash!,-1.1721672471743763
weird,-1.1130325073614564
loving,-1.181864386653346
hating,-1.2368599266404205
fans,-1.0592634161321064
did,-1.091077785687348
180,-1.5582368678623808
ending,-1.1230650082598004
5/5,-1.133000375139881
2/5,-1.255000723361527
first,-1.1248576027312727
second,-1.1026332248290511
act,-1.0797376943467931
tolerable,-1.2268992009334605
hilarious,-1.1215174392914977
there,-1.1286561869605467
big,-1.1355060961099144
difference,-1.1378840530846255
subjects,-1.3849063569635673
events,-1.0889457870104355
based,-1.1012486946752416
around,-1.1145980351636546
interplanetary,-1.302164363447918
trade,-1.0326386551053468
war,-1.0612795562482515
which,-1.153638125217201
fails,-1.079141110567391
itself,-1.1923319106784844
interesting,-1.1763656892762366
watch,-1.1187602562690295
subject,-1.2326190632814893
"characters,",-1.1066775397729525
more,-1.0851226132016656
proves,-1.1192712468238395
interactions,-1.2043653604256306
between,-1.066727436818465
characters,-1.1511648275511093
relationships,-1.2207547853161658
developed,-1.1565375527506203
leading,-1.1050028673703913
next,-1.1262183900313472
could,-1.104730779726242
been,-1.0782910130802534
kept,-1.154785615128326
told,-1.1488905071004023
depth,-1.1910146759268696
awesome,-1.1408657943123508
lasts,-1.2830279080333735
3,-1.0563640031966934
ultimately,-1.1615812049226322
6,-1.0764908053973425
episodes,-1.0715704130178962
guigon,2.022931808757799
gin,-1.1676841644428446
"cool,",-1.087322171019291
gave,-1.070963293159882
aids,-1.2087339172057165
balls,-1.1185967607007685
thought,-1.081250230302255
watching,-1.1107298327079704
space,-1.0682648347358619
liked,-1.1109864054635277
99,-1.2822360497933054
"problem,",-1.243142356486238
kids,-1.1308661702071978
adult,-1.104442724351762
notice,-1.2024966896978884
politically,-1.2350548973462443
bores,-1.0945721425168597
annoys,-1.5651058740287647
worthy,-1.1116021528562579
things,-1.1820240651235892
racing,-1.0621915483879543
can't,-1.0937348309975066
believe,-1.1352194127790896
agreed,-1.1848020632638179
pudo,1.4237800151704378
ser,1.574540708331865
muchisimo,1.0241058783008077
"mejor,",1.2463649525201697
qi-gon,1.1421382048930713
es,1.2720286706456023
lo,1.3548406908534645
mejor,1.3546497147429513
de,1.2399315370729522
la,1.2354158123728236
"peli,",1.263772421176898
y,1.249858549353209
batalla,1.318735982228815
los,1.2492151941501797
"""gungans""",1.0636450781727647
vs,-1.0454736874726196
androides,1.0497967824458463
"peor,",1.0616316294234198
todas,1.4929848184057424
estas,1.3300818504074983
secuencias,1.066027282233286
guerra,1.1544501160206415
quedaron,1.177057741238624
bastante,1.2170878895919928
"deber,",1.1057040157028166
con,1.2522220931074894
personajes,1.4409636033912843
vacios,1.1199682282870387
siendo,1.3499661366089502
el,1.2042632290805584
heroe,-1.1284579714706107
quedo,1.310233205767293
entre,1.3321746429998222
"maul,",-1.0420551629683827
una,1.4334027369310094
las,1.2848894886903557
mejores,1.4707856455170871
toda,1.5826533154825353
utter,-1.0903492182729775
"failure,",-1.138952345989885
judged,-1.2956151724017881
its,-1.080237632174486
own,-1.0869944909538736
"merits,",-1.3426986276750845
installment,-1.0933186554174423
wooden,-1.0660770877989503
"cast,",-1.0791238932707705
over-reliance,-1.2118617766345934
pretty,-1.1202967019793426
looking,-1.1264973351537402
"cgi,",-1.0323142829133962
numbingly,1.2743913747472861
were,-1.0476432690453248
overcome,-1.2959163612104874
action,-1.1365185847862065
sequences,-1.0960285242343517
redeeming,-1.0873182657282492
"value,",-1.1414434768560437
particularly,-1.0763953631495895
"duels,",-1.1180719463508046
any,-1.0786712106212164
those,-1.1110115813440185
created,-1.1520595522029837
immediately,-1.1837828157619628
undercut,-1.1204844863685475
“hero”,-1.3580449274352953
final,-1.044808214260766
turns,-1.1468692880071576
old,-1.071051817722304
bumbled,-1.3272404918624354
his,-1.0499829078490177
victory,-1.3692365238197026
accident!,-1.341047534500639
literally,-1.1217134508098754
stakes,-1.142632454309264
here,-1.1189625980466795
nothing,-1.07371348720933
root,-1.3046308285810913
sacrifice,-1.1900934490954636
accidentally,-1.2059458066914828
pushed,-1.2144626109663947
wrong,-1.1084571284600162
button,-1.1067271260667253
(several,-1.1016821346371157
times),-1.1430580021742598
contrast,-1.0879927538012788
"films,",-1.113223955402775
actual,-1.0967361519645749
heroes,-1.1086156604101318
against,-1.0716356627043087
seemingly,-1.0842945281184115
insurmountable,1.2562986239223723
odds,-1.066167938050769
personal,-1.0683455858074389
risk,-1.0768200516933464
overcame,-1.1409451592572197
belief,-1.0921664426307267
themselves,-1.0877330590214511
force,-1.08696194042806
"letdown,",-1.27039372299902
certainly,-1.1585215080660203
low,-1.0482932718466678
franchise,-1.1755472459778593
little,-1.074753814194654
emphasis,-1.2198772348653775
comedy,-1.1404333054814015
"decent,",-1.158753767319134
slow,-1.0885109110914974
decent,-1.1475723728140277
(i,-1.0912618980624387
"before,",-1.148820970211039
reviewing,-1.2152914833502004
may,-1.0712411935474915
4th),-1.156508795603079
ovveral,-1.6532311218733873
record,-1.566176156646585
should,-1.0780366885334995
state,-1.06195632956874
means,-1.1200294752667403
"film,",-1.1616663988106453
however,-1.1501801345341653
(and,-1.0902107077773198
however),-1.2785582024133806
deserve,-1.0880368510884453
barrage,-1.0982004400419438
hate,-1.0589840064218934
consistently,-1.0830092454045965
bestow,-1.2794746443658136
upon,-1.0630371520819137
"it,",-1.141311626513878
yes,-1.0504595524078573
elements,-1.146229419458236
leave,-1.1170649047563983
wanting,-1.1816444328726825
bit,-1.0699691912604783
*cough*jarjar*cough*but,-1.14142551184422
fairly,-1.1248823340731782
constructed,-1.0885032699580466
"narrative,",-1.1529359782173425
albeit,-1.1007143744210328
slightly,-1.0723311873426444
uneven,-1.1648080662019418
pacing,-1.0897978441365006
positive,-1.137758684911355
darn,-1.3061760436029728
"good,",-1.1156701820200912
"kenobi,",-1.0470833397277781
jin,-1.094513372738111
accompanied,-1.1440379749567138
or,-1.08398441015127
pieces,-1.0901319262465199
composed,-1.1392107511994243
"""duel",-1.082280002859233
"fates"",",-1.206775361498248
hear,-1.0608496114922026
piece,-1.0771375948100015
during,-1.0763251499291329
third,-1.1230399798553197
"pumped,",-1.208396724968075
you're,-1.0479142552172507
enjoying,-1.1939646049966033
"aside,",-1.2162294182382372
find,-1.1389054943422905
episode,-1.0920036030463727
1,-1.0467316964005091
"interesting,",-1.1611847495330798
before,-1.1308113376224542
fall,-1.1119014556407645
republic,-1.0979116195399832
"different,",-1.2649801961574958
introduced,-1.1346734314029951
new,-1.1337228748142938
races,-1.0453242450285254
"creeds,",-1.1328307108995115
whilst,-1.0944503974189295
retaining,-1.20415384451586
familiarity,-1.19647805901207
top,-1.05482076664834
"that,",-1.158179262863951
blending,-1.2429477015099841
helps,-1.1716538634596234
retain,-1.2374498370556286
"trilogy,",-1.1136438838226173
prefer,-1.1203002488373655
puppet,-1.135844463065519
yoda,-1.078250952490446
updated,-1.3021283810496207
version,-1.012788991053757
now,-1.1886687027506906
positives,-1.1837958094803727
"way,",-1.2050839143180447
help,-1.0929063069463152
interested,-1.2266114111435669
"roles,",-1.2427739887950042
either,-1.1338596735337922
director/writers,-1.5168367250100625
didn't,-1.1090397331023774
want,-1.1224830389831941
sound,-1.0952641916818981
wanted,-1.1691349747390725
"there,",-1.11371301468576
exception,-1.0772458287202038
infallible,-1.1444262443699866
ian,-1.0783655075389353
"mcdiarmid,",-1.1175226063648909
who,-1.0775555039826985
presence,-1.0954266166332745
whatever,-1.1314576992488683
role,-1.079209707659107
plays,-1.1075841685576873
"amidala,",-1.0941228680246127
ewen,-1.0979112483395075
"mcgregor,",-1.0457767376823714
usually,-1.0817546526065018
notch,-1.1066773244846109
"performer,",-1.1356808822877291
gives,-1.0676667483657174
stiff,-1.0887864922146844
performance,-1.0811851217724313
"obi-wan,",-1.0382670008485169
personality,-1.119883839091363
wamp,-1.0750040931698235
rat,-1.167144083293423
"short,",-1.18105997329333
us,-1.1443754417347325
continued,-1.1511500665474506
visuals,-1.134447298393625
edge,-1.1272497167909845
your,-1.025762517208316
seat,-1.0974925580110515
"action,",-1.0692244583596713
"flat,",-1.0998134143651148
unengaging,-1.1300731416904093
often,-1.088117523350932
lets,-1.1709135270626518
"down,",-1.2099743567138062
given,-1.10801442046245
abundant,-1.2583326057148494
expectation,-1.190617345775417
beginning,-1.1384588517346435
seeing,-1.0999683806547471
"anakin,",-1.0465628807118357
generate,-1.2183137778788005
interest,-1.1650968574315963
continue,-1.098831775049659
unfolds,-1.2558329140658249
puzzled,-1.3270397845366138
amidala,-1.1159477992470648
general,-1.0214137214602863
place,-1.1830121553301018
except,-1.1554722758218166
"actor,",-1.1095193294143209
seems,-1.0615739936195954
character,-1.119286922018506
(before,-1.4025626805024178
lucas,-1.0283613952834696
bought,-1.2073478752670808
saga),-1.1839592352334871
jarjar,-1.1460949227589854
him,-1.1448831956831367
humorous,-1.0887975756766926
(which,-1.1538635502721428
"necessary),",-1.2173608521513126
say,-1.1039757221596436
acceptable,-1.2146140033151211
production,-1.045714778347044
obvious,-1.097368807138634
why,-1.0814447886698044
george,-1.033123236988223
work?,-1.495890085975153
kind,-1.1034337267044472
invested,-1.280468835214984
"presented,",-1.4691941566667084
mainly,-1.1087237794509313
distracted,-1.4123360719192182
visual,-1.096867892178516
strong,-1.1179003012908737
annoying,-1.1075733899406504
needed,-1.1782025308397606
"worst,",-1.1679107815134526
alright,-1.122045916314524
"better,",-1.1779842386049506
saves,-1.1647067398822997
"jinn,",-1.1637684973679345
"bland,",-1.2249980412245058
"boring,",-1.0932838925938073
lifeless,-1.1961354133925985
somewhat,-1.0839258660713675
though,-1.1800253858591863
lucas',-1.0604563125611115
attempt,-1.0847490434194318
provide,-1.1524346257042144
backstory,-1.1548579394981533
unfortunately,-1.1572188467298825
sorely,-1.1612207694507377
lacking,-1.1539863440937788
endeavour,-1.5534243409438586
even,-1.11772197901708
longer,-1.0896067829356542
time,-1.1227413124363879
ago,-1.1527603168035148
far,-1.0700747181260788
away,-1.1156914625679935
leaves,-1.1179086219340166
blame,-1.1034963059510983
directions,-1.428202427395472
get,-1.0842457530785792
"""faster",-1.1287863151728603
"intense""",-1.197287055812739
carrie,-1.0951614695221605
fisher,-1.1101827647189175
said,-1.0950470666949428
"""you",-1.137337822717384
write,-1.0996119333974226
stuff,-1.133724588762242
"it""",-1.6286757157248732
prior,-1.2036662027857292
starts,-1.1535298666256684
thrillingly,-1.437757294145603
iv;,-1.3174589692106573
destroyer,-1.1235089911271345
pursuits,-1.299732827487359
rebel,-1.1404577237304858
ship,-1.077260288738095
v;,-1.3669800946541772
hoth,-1.1504435407962612
6;,-1.1446486843076178
jabba's,-1.0996893001979804
lair,-1.202291236104421
"i,",-1.0840701275166096
dispute,-1.1123254892744538
tax,-1.2112546499241232
laws,-1.146786620015236
mostly,-1.0985764501614734
sitting,-1.0997379155780194
talking,-1.0684124397802002
walking,-1.10809056847361
"talking,",-1.1147566961010447
incredibly,-1.0809804793354802
exciting,-1.1307638013260384
called,-1.0444239782002886
"""the",-1.0435286074899623
west,-1.2819804223079951
"wing""",-1.2122778802614949
case,-1.1455036998009933
"""star",-1.059896151148546
"wars""",-1.0404083386875704
simply,-1.11979801644504
signed,-1.416297690981346
doesn't,-1.0630203763451307
star?,-1.55051131291957
picture,-1.1669676139674225
qualities,-1.103860475468567
watchable,-1.1402455901555846
"fantastic,",-1.1587442878362992
saving,-1.067673516257417
grace,-1.0835465067608396
frontline,-1.1453050033211674
"antagonist,",-1.2026664784932337
williams',-1.0382733565327664
"""dual",-1.1869653673599516
"fates""",-1.1001636359757474
glad,-1.1774437796740378
exists,-1.3133037372021663
overall,-1.1816511016667244
wanna,-1.4614903799980972
probably,-1.1489986151191736
continuity's,-1.3220880026658026
"sake,",-1.4674972235780903
global,-1.3387437431536822
pandemic,-1.2915417130734452
"nevertheless,",-1.3515297900684196
episodical,-1.5564139349734765
order,-1.1143257729425808
"come,",-1.4825965914894268
hold,-1.0815502925775904
prequels!,-1.2580446282101685
"opinion,",-1.1610739779859482
redemption,-1.142257984182938
within,-1.1062102852417899
go,-1.1092736602723303
waited,-1.189389121055515
hours,-1.1107880842039553
tickets,-1.3471949615880732
experience,-1.1377297108531963
had,-1.1018539452059868
feeling,-1.0745450804759669
watered,-1.2504389785723617
others',-1.1901406504739815
"opinions,",-1.2369495770613013
reviews,-1.050006636063857
comparisons,-1.2987255338273433
series,-1.1775766618549324
"bad,",-1.1288090725973217
weak,-1.0867720209452425
bring,-1.0811879295823335
jake,-1.0474950707626332
lloyd,-1.050008507204108
likely,-1.0811832070554845
directed,-1.0927118355777647
"do,",-1.1657358471839345
ahmed,-1.3678231426237624
vision,-1.1145819955756164
different,-1.069035381019421
expectations,-1.0889958765958188
"fans,",-1.060267630223756
satisfy,-1.2888805131005605
offers,-1.2335274289356923
progresses,-1.336791528214242
slowly,-1.100027333167544
expands,-1.0947696082338494
marvelous,-1.2722710465198466
ways,-1.1140584877245727
expect,-1.1292669015510055
"visuals,",-1.093528420960188
absolutely,-1.0607188934824423
en,1.2955950763311743
par,-1.19317562323337
humor,-1.0897376564651333
intensified,-1.2129609748465728
(in,-1.0973510511711426
form,-1.1600170768987346
"binks),",-1.259685411482637
ok,-1.1163087701946213
trashy,-1.1484699434441936
unfitting,-1.247970405721047
energetic,-1.1719300710825218
universe's,-1.253816618831684
canon,-1.061577034226877
podrace,-1.1532127464277715
alone,-1.0797217109497856
won,-1.0865472283159978
award,-1.0887797902486724
did!!,-1.3864669287333933
"yes,",-1.0892680065080709
think,-1.2109294596071003
underwater,-1.0409876150350181
live,-1.1225101373923225
day,-1.101270274102774
"race,",-1.1290646065697703
offer,-1.2239091715402974
explains,-1.3479342207757892
origin,-1.183395196247286
tragic,-1.1442327717658256
past,-1.089309440507741
evan,-1.1679781996150271
roles,-1.1003828939201539
saw,-1.086228417642101
master,-1.089240713443913
padawan,-1.1797797127705711
felt,-1.0974706374194723
real,-1.0682129006333847
charming,-1.1635747161984207
padmé,-1.065294508473492
found,-1.131401631821966
jar-jar,-1.1201930078371642
laughed,-1.2321841203259192
few,-1.0824117576781276
concept,-1.097539896291055
aspect,-1.1721180342227944
origins,-1.203124054299921
contradict,-1.4920046040459327
anything,-1.102784579817382
tatooine,-1.1050193057304516
dragged,-1.2365206312879722
movie:,-1.0875665208783447
overall:,-1.1599452855289172
9/10,-1.0710463299395394
(a),-1.2433186995340253
55%,-1.351950239553803
higher,-1.130121845150223
ruined,-1.139437281818419
reason,-1.1258724326085003
above,-1.0907124333767397
10%,-1.3050216618578803
book,-1.2663335237383926
deserved,-1.1665749288487077
beard,-1.2566839741745508
strange,-1.1776442951315018
importance,-1.260911556166946
opinion,-1.1475439793169195
fantastic,-1.142390024290458
everything,-1.1104672716881507
fan,-1.0688568547416821
expects,-1.2087821288284128
nuggets,-1.2268437766150637
information,-1.1809687378973477
teasing,-1.147900696036002
amenaza,1.2796719375275298
"fantasma,",1.2137483624301941
objetivamente,1.234523914050137
desde,1.5312281266183516
mi,1.5205368732958133
punto,1.3598675956051118
"vista,",1.1917541861138712
más,1.4177827263812282
"""debil""",1.5318286802651875
precuelas,1.218531945131105
guión,1.59150772115792
sí,1.3874988267304822
algo,1.9273209027835638
complejo,1.3897049468680127
para,1.3423334350975298
película,1.4232933674584265
dirigida,1.5174053625088588
un,1.2640205324478084
público,1.2419998003079913
"""infantil"",",1.2613551189148526
destaco,1.2479703478944797
esto,1.5414496895777658
ya,1.4542228077394652
que,1.3276534976897318
tiene,1.465280411880154
varios,1.4323443899673536
aspectos,1.444619724100328
son,-1.0237208533657283
"niños,",1.2927585108184514
como,1.4347676645884928
tramas,1.2491331359489868
"políticas,",1.278493620614796
mayoria,1.5426451499765523
les,1.7751193564989902
agrado,1.3851353098237196
este,1.9392494268247535
"aspecto,",1.3351808859046777
esencial,1.7175972493912504
"historia,",2.0402055708722844
pero,1.3390763143335618
momentos,1.6068014751793689
aburridos,1.5275206436622606
"espectador,",1.6438759853083569
cuanto,1.4731079741587725
"actuaciones,",1.148099468584724
